Project Code,HazardID,Reference,Hazard Number,Generic Hazard Title,Generic Hazard Type,Generic Hazard Originator,Event / Detail,Status,Hazard Owner,Hazard Editor,Hazard Manager,Endorsed,Endorsed By,Next Review Date,Next Review Occasion,Comments,Initial Assessment Date,Initial Assessment Occasion,Current Assessment Date,Current Assessment Occasion,Post Assessment Date,Post Assessment Occasion,Additional,Alarp,ALARP Comments,DateModified,Risk Assessment 1 Consequence,Risk Assessment 1 Risk Assessment Type,Risk Assessment 1 Initial Severity,Risk Assessment 1 Initial Probability,Risk Assessment 1 Initial Risk Level,Risk Assessment 1 Current Severity,Risk Assessment 1 Current Probability,Risk Assessment 1 Current Risk Level,Risk Assessment 1 Post Severity,Risk Assessment 1 Post Probability,Risk Assessment 1 Post Risk Level,Risk Assessment 1 Comments,Risk Assessment 1 DateModified,Risk Assessment 2 Consequence,Risk Assessment 2 Risk Assessment Type,Risk Assessment 2 Initial Severity,Risk Assessment 2 Initial Probability,Risk Assessment 2 Initial Risk Level,Risk Assessment 2 Current Severity,Risk Assessment 2 Current Probability,Risk Assessment 2 Current Risk Level,Risk Assessment 2 Post Severity,Risk Assessment 2 Post Probability,Risk Assessment 2 Post Risk Level,Risk Assessment 2 Comments,Risk Assessment 2 DateModified,Risk Assessment 3 Consequence,Risk Assessment 3 Risk Assessment Type,Risk Assessment 3 Initial Severity,Risk Assessment 3 Initial Probability,Risk Assessment 3 Initial Risk Level,Risk Assessment 3 Current Severity,Risk Assessment 3 Current Probability,Risk Assessment 3 Current Risk Level,Risk Assessment 3 Post Severity,Risk Assessment 3 Post Probability,Risk Assessment 3 Post Risk Level,Risk Assessment 3 Comments,Risk Assessment 3 DateModified
B412 WASBU,34,2,2,Light bags in cargo hold,Ground Event,,"Light bags (light enough to be blown away) are blown by the helicopter downwash across the helideck, generally they are blown away from the aircraft unless pilot is pulling power on the collective where they are more likely to make contact with the tail rotor blade.  ",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,16/07/2008,Hazard Log Generation,Wed Jul 16 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 11:58:13 UTC+0100 2008,Damage to tail rotor blade,Helicopter,Maj,,D,Maj,,D,N/A,,N/A,,Wed Jul 16 11:59:48 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,35,2,3,Tail rotor maintenance ,Ground Event,,Every 300 hours tail rotors require track and balancing when cables are tied or taped to the left hand side of fin (EP comes fitted with tracking device).  Cables can get caught in tail or main rotor.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,16/07/2008,Hazard Log Generation,Wed Jul 16 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 12:12:25 UTC+0100 2008,Main Rotor/Tail Rotor blade damage,Helicopter,Maj,,D,Maj,,D,N/A,,N/A,,Wed Jul 16 12:15:34 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,36,2,4,Passenger step failure,Ground Event,,"Passenger step can fail in 2 modes, up or down.  When failed up float deployment is inhibited, ""step extended"" light illuminated and flight is prohibited.  If up failure on rig, maintenance at rig is required.  If failed down, passenger enplaning or deplaning may be problematic but achievable.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,16/07/2008,Hazard Log Generation,Wed Jul 16 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 12:20:56 UTC+0100 2008,Component replacement - flight prohibited,Helicopter,Negl,,D,Negl,,D,N/A,,N/A,,Wed Jul 16 12:23:41 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,6,3,1,Inclement Weather - Low Visibility,Environmental Conditions,Richard Nesbitt,Low Visibility during approach to destination can place the aircraft in dangerous proximity to sea borne structures including the destination helideck,Open,Q&S EHBU,Richard Nesbitt,Q&S Manager EHBU,0,,31/10/2008,Pre-Issue Review,"05/02/2008: 
From Causes - Lack of height information for instrument approach to Helideck

1.   Only 1 RADALT used as primary source of height information when making approaches <200 ft (no redundancy) - misleading or erroneous error
2.   Electronic Indication - not mechanical

For Radar - Weather Radar is not designed to be used for any other purpose",29/10/2007,Type Risk Assessment Meeting,05/02/2008,Risk Review Meeting,Tue Feb 5 00:00:00 UTC 2008,(none),Yes,No,,Wed Jul 16 14:24:17 UTC+0100 2008,Collision with Sea-borne structure,Helicopter,Cata,Impr,C,Cata,Impr,C,N/A,N/A,N/A,,Tue Feb 5 11:03:50 UTC 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,9,3,2,In-Flight Collision with 3rd Party Aircraft,Airborne Event,Richard Nesbitt,"Flying in uncontrolled airspace without TCAS, avoidance relies on Crew intervention, which in turn is dependent upon weather, visibility, flight demands, density of traffic",Open,Q&S EHBU,Richard Nesbitt,Q&S Manager EHBU,0,,31/10/2008,Pre-Issue Review,,27/02/2008,Type Risk Assessment Meeting,11/03/2008,Hazard Log Generation,Tue Feb 5 00:00:00 UTC 2008,(none),Yes,No,,Wed Jul 16 14:34:15 UTC+0100 2008,Collision with 3rd Party Aircraft,Helicopter,Cata,Rem,B,Cata,Rem,B,N/A,N/A,N/A,"05/02/2008: 
Worst case accident scenario is a catastrophic collision with loss of platform and possible multiple loss of life",Tue Mar 11 13:31:12 UTC 2008,Air Proximity Report Submitted,Helicopter,Negl,Prob,C,Negl,Prob,C,N/A,N/A,N/A,"11/03/2008: 
The Assessment Panel  considered that the most credible event is a near miss sufficiently close to generate the need for an Airprox report as required by CAP 382 Chap 8 (Mandatory Occurrence Reporting Scheme (MORS))",Tue Mar 11 13:30:54 UTC 2008,,,,,,,,,,,,,
B412 WASBU,13,3,3,Hoist Operations - Self Help,Airborne Event,,The hoist is used for self help if required in a company accident - there is no cable shear facility in the rear cabin for the winchman to use.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,"28/03/2008: In the Bell 212 variant this problem was modified so it was no longer a problem.  The issue here is that many of these Bristow modifications designed for the 212 were not carried forward onto the 412 when it was introduced.  The 412 is basically the same helicopter but with 4 blades instead of the 2 on the 212.  It is a worry that without these mod's that already exist that an accident could be caused.
",26/03/2008,Type Risk Assessment Meeting,28/03/2008,Hazard Log Generation,Fri Mar 28 00:00:00 UTC 2008,(none),Yes,No,,Wed Jul 16 14:35:12 UTC+0100 2008,Catastrophic loss of AC,Helicopter,Cata,,B,Cata,,B,N/A,,N/A,"28/03/2008: A possible scenario would be that the aircraft is using the hoist with a boat and the cable is unable to detach from the vessel when experience trouble and since the winchman has the inability to shear the cable the aircraft could be dragged into the water.  
",Fri Mar 28 14:28:42 UTC 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,19,3,4,Reduced Pilot's Visibility - Misting of Cockpit Windows,Airborne Event,,Moderate misting can be experienced during damp conditions.  In the Western Hemisphere this is generally experienced during the morning and evenings.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,28/03/2008,Hazard Log Generation,Fri Mar 28 00:00:00 UTC 2008,(none),Yes,No,,Thu Aug 7 15:36:04 UTC+0100 2008,(none),Helicopter,Nil,,BMA,Nil,,BMA,N/A,,N/A,"28/03/2008: This hazard was considered by the panel to be below minimum assessment levels as there are remedial and preventive actions that can be taken place to avoid this hazard leading to an accident.
",Wed Jul 16 14:38:09 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,20,3,5,Recordable event not highlighted until cease flying,Airborne Event,,"Some of the 412 aircraft in the fleet are fitted with BHVM (Bell Helicopter Vibration Monitor) however some do not have any sort of vibration monitoring.  The information should be downloaded between flights according to procedures but it does not tend to get done until the end of days flying.  The fear is that a problem might go unnoticed.  BHVM is not fleet embodied - mixed procedure on download, unclear on periodicity, no direct contact with Bell/Uncertainty over ALTAIR/Trend Light",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 14:48:33 UTC+0100 2008,Latent fault hidden from Pilot,Helicopter,Maj,,D,Maj,,D,N/A,,N/A,,Wed Jul 16 14:50:01 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,21,3,6,Control Column Restriction - FSD Cyclic,Airborne Event,,"A combination of events can position cyclic control so that full rear ward movement not achieved.  It is believed that if this is to occur it is most likely to occur just after """"D"""" check.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 14:52:21 UTC+0100 2008,(none),Helicopter,Negl,,D,Negl,,D,N/A,,N/A,"31/03/2008: It is felt that a problem like this would never actually get airborne therefore the most credible outcome is that nothing would happen, the problem would be picked up and the aircraft would be grounded until rectified.
",Wed Jul 16 16:20:59 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,22,3,7,Doors and panels lost in flight,Airborne Event,,Maintenance error - the doors have spring loaded pin handles and can look fine but are not fully engaged.  Panels can fall off in flight due to the fact that they have not been attached correctly.  An open door can be tugged away by the airflow depending on airspeed.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,"16/07/2008: Opinion varied with one group of users reporting that it is an occasional hazard that the door doesn't close properly.  In the event that the door opens, flight continues at a reduced speed.  Right hand door may hit tail rotor but is likely to impact stabilizer first.  Subsequent risk assessment - door opens = occasional/negligible, worst case door falls off = major/occasional
",26/03/2008,Risk Review Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 15:01:38 UTC+0100 2008,Catastrophic loss of AC,Helicopter,Cata,,A,Cata,,A,N/A,,N/A,"16/07/2008: Opinion varied with one group of users reporting that it is an occasional hazard that the door doesn't close properly.  In the event that the door opens, flight continues at a reduced speed.  Right hand door may hit tail rotor but is likely to impact stabilizer first.  Subsequent risk assessment - door opens = occasional/negligible, worst case door falls off = major/occasional
31/03/2008: It was agreed by the panel that the catastrophic loss of aircraft would be the worst case scenario.
",Wed Jul 16 15:02:05 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,23,3,8,Structural Failure - Tail Boom,Airborne Event,,"There are specific tail boom stress points that have a tendency to crack.  These are 2 stress points on the tail boom, the top left hand corner has a tendency to crack but this now gets checked every 25 hours.  Also, the tail boom attachment area is known to crack and this is due to the Bell build standard.  ",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 15:07:11 UTC+0100 2008,Catastrophic loss of AC,Helicopter,Cata,,C,Cata,,C,N/A,,N/A,"31/03/2008: There are 2 stress points on the tail boom, the top left hand corner has a tendency to crack but this now gets checked every 25 hours.  Also, the tail boom attachment area is known to crack and this is due to the Bell build standard.  If however these cracks were to go unnoticed then the worst case scenario would be the tail boom would detach and lead to a catastrophic loss of aircraft.
",Mon Mar 31 12:09:10 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,24,3,9,Incorrect Switch Selection,Airborne Event,,"Multiple incorrect switch selections can be made 1. There is a risk of selecting the manual throttle when that is not the intended action.  During the start up procedure the pilot selects the governors and next checks the hydraulics.  The switches are in close proximity and selection of governors to off will cause the engine and associated rotating masses to over speed.  2. There is also a risk of activating the floats by selecting the wrong switch on the collective.  The floats are always armed when flying <55 knots.  3. Under slung load release.  There are 3 methods of releasing the load, electronically, mechanically and by manually releasing the ring that is attached to the hook that holds the load in place.  ",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 15:21:00 UTC+0100 2008,Overspeed the engine,Helicopter,Maj,,B,Maj,,B,N/A,,N/A,,Mon Mar 31 12:33:09 UTC+0100 2008,AC Float Deployment - resulting in damage to Floats,Helicopter,Negl,,D,Negl,,D,N/A,,N/A,,Mon Mar 31 12:41:39 UTC+0100 2008,Loss of underslung load - potential injury to public and freight,Helicopter,Crit,,C,Crit,,C,N/A,,N/A,"31/03/2008: As a consequence of loosing the underslung load there would be no damage to the aircraft nor would the persons inside suffer any injuries however the people on the outside could be struck by some of the falling freight and the freight will be damaged.
",Fri Apr 4 08:58:05 UTC+0100 2008
B412 WASBU,25,3,10,Multiple Variants of AC type within Fleet - on same operating base,Airborne Event,,"Within the 412 fleet there are different variants, this includes the 412EP and the 412SP and within these fleets there are aircraft at different mod states.  This could cause a problem for the pilot, especially in an emergency situation.",Open,Claire Reid,Claire Reid,Claire Reid,0,,30/09/2008,Type Risk Assessment Meeting,,26/03/2008,Risk Review Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 15:31:37 UTC+0100 2008,Incorrect Pilot Action in flight could result in catastrophic loss of Aircraft,Helicopter,Mar,,C,Mar,,C,N/A,,N/A,"31/03/2008: The worst case scenario could result in the catastrophic loss of aircraft however most credible is increased pilot workload to get out of a possible catastrophic event.
",Wed Jul 16 15:32:13 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,26,3,11,Aircraft Flown Performance Class 2,Aircraft Performance,,"The 412, as with all other Bristow rotorcraft can be operated offshore with All Up Mass (AUM) such that it may satisfy PC2 criteria on take off and landing. Other Phases are PC1.
For performance purposes, helicopters are grouped into the following
classes:
Class 1: A helicopter with performance such that, in case of critical
power unit failure, it is able to land on the rejected take-off area or safely
continue the flight to an appropriate landing area, depending on when
the failure occurs.
Note: This classification conforms in general with BCAR Performance
Group A.
Class 2: A helicopter with performance such that, in the case of critical
power-unit failure, it is able to safely continue the flight, except when the
failure occurs prior to a defined point after take-off or after a defined point
before landing, in which case a forced landing may be required.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,"14/02/2008: 
For performance purposes, helicopters are grouped into the following
classes:
Class 1: A helicopter with performance such that, in case of critical
power unit failure, it is able to land on the rejected take-off area or safely
continue the flight to an appropriate landing area, depending on when
the failure occurs.
Note: This classification conforms in general with BCAR Performance
Group A.
Class 2: A helicopter with performance such that, in the case of critical
power-unit failure, it is able to safely continue the flight, except when the
failure occurs prior to a defined point after take-off or after a defined point
before landing, in which case a forced landing may be required.",26/03/2008,Type Risk Assessment Meeting,31/03/2008,Hazard Log Generation,Tue Mar 11 00:00:00 UTC 2008,(none),Yes,No,,Wed Jul 16 15:34:33 UTC+0100 2008,Unable to Sustain Lift or Flight,Helicopter,Crit,,C,Crit,,C,N/A,,N/A,,Mon Mar 31 13:34:41 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,27,3,12,AC Performance Class 1 Profile,Airborne Event,,Incorrect Profile used for PC 1 operating procedure - documentation problem.  There are 3 flight manual supplements all with different figures with regard critical power unit failure during take off.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 15:35:35 UTC+0100 2008,Further assessment required,Helicopter,N/A,,N/A,N/A,,N/A,N/A,,N/A,"31/03/2008: It was felt by the panel that this issue was beyond their capabilities and needs to be investigated further by getting into talks with the manufacturer.
",Wed Jul 16 15:36:55 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,37,3,13,Structural failure - skids,Airborne Event,,Cross tube cracking can puncture the airframe with full fracture.  Collapse due to wear and tear.  Concern over weakness (coefficient of friction) induced for landing on metal surfaces (rigs).  EP with reinforced skids but cracks still evident.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,16/07/2008,(none),16/07/2008,(none),Wed Jul 16 00:00:00 UTC+0100 2008,(none),No,No,,Wed Jul 16 15:41:00 UTC+0100 2008,Partial or full collapse of aircraft landing gear,Helicopter,Crit,,B,Crit,,B,N/A,,N/A,,Wed Jul 16 15:47:46 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,38,3,14,Transmission Chip light illumination,Airborne Event,,"Transmission chip light illuminates providing early failure indication that the gearbox may fail.  Common practice is to check debris on ship, change oil and filters and carry out check for light.  Repeated offences require component replacement.  On one particular airframe this happened 3-6 times in a two week period.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,16/07/2008,Hazard Log Generation,Wed Jul 16 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 15:56:01 UTC+0100 2008,Potential damage to helicopter gearbox - land as soon as possible,Helicopter,Maj,,B,Maj,,B,N/A,,N/A,,Wed Jul 16 15:58:53 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
